,place_name,tour_element,tour_element_name,,,,,,,,,,,,
358,달마사,카페,이디야커피 상도역점,,,,,,,,,,,,
359,달마사,카페,카페 만나,,,,,,,,,,,,
360,달마사,카페,,,,,,,,,,,,,
361,달마사,카페,예약,,,,,,,,,,,,
362,달마사,카페,파리바게뜨 숭실대점,,,,,,,,,,,,
363,달마사,카페,카페익스큐즈미,,,,,,,,,,,,
364,달마사,카페,카페필림,,,,,,,,,,,,
365,달마사,카페,,,,,,,,,,,,,
366,달마사,카페,,,,,,,,,,,,,
367,달마사,카페,,,,,,,,,,,,,
368,달마사,카페,,,,,,,,,,,,,
369,달마사,카페,예약,,,,,,,,,,,,
370,달마사,카페,예약,,,,,,,,,,,,
371,달마사,카페,,,,,,,,,,,,,
372,달마사,카페,브라운필,,,,,,,,,,,,
373,달마사,카페,탁상공론,,,,,,,,,,,,
374,달마사,카페,,,,,,,,,,,,,
375,달마사,카페,릴리펏 흑석점,,,,,,,,,,,,
376,달마사,카페,더벤티 중앙대점,,,,,,,,,,,,
377,달마사,카페,,,,,,,,,,,,,
378,달마사,카페,슬로우카페,,,,,,,,,,,,
379,달마사,카페,리치빈스커피,,,,,,,,,,,,
380,달마사,카페,,,,,,,,,,,,,
381,달마사,카페,카페린91,,,,,,,,,,,,
382,달마사,카페,행온행거,,,,,,,,,,,,
383,달마사,카페,예약,,,,,,,,,,,,
384,달마사,카페,블랙조이커피,,,,,,,,,,,,
385,달마사,카페,,,,,,,,,,,,,
386,달마사,카페,,,,,,,,,,,,,
387,달마사,카페,,,,,,,,,,,,,
388,달마사,카페,,,,,,,,,,,,,
389,달마사,카페,파리바게뜨 숭실대입구역점,,,,,,,,,,,,
390,달마사,카페,쥬씨 숭실대점,,,,,,,,,,,,
391,달마사,카페,,,,,,,,,,,,,
392,달마사,카페,요거프레소 중앙대점,,,,,,,,,,,,
393,달마사,카페,점핑점핑,,,,,,,,,,,,
394,달마사,카페,,,,,,,,,,,,,
395,달마사,카페,아마스빈 중앙대점,,,,,,,,,,,,
396,달마사,카페,카페힐,,,,,,,,,,,,
397,달마사,카페,,,,,,,,,,,,,
398,달마사,카페,허슬버슬,,,,,,,,,,,,
399,달마사,카페,파파슬라임,,,,,,,,,,,,
400,달마사,카페,,,,,,,,,,,,,
401,달마사,카페,스프링,,,,,,,,,,,,
402,달마사,카페,달콩커피,,,,,,,,,,,,
403,달마사,카페,Cafe29.5,,,,,,,,,,,,
404,달마사,카페,작업sil카페,,,,,,,,,,,,
405,달마사,카페,뚜레쥬르 중앙대학교점,,,,,,,,,,,,
406,달마사,카페,갓프레소,,,,,,,,,,,,
